This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
220f50eacf62fe4faf2fac1cffbfe89fcd09b01571917e5bdbc62feadcc28138 4 0 0 0
d68a53daaad99a4b04dbbf39ec6db3517a258985ef6d358816e0053505e15681 15 0 0 0
e835f14da6da1c93dc9fb10626622cd78f741608be27930347f809ef2e8c1487 1 0 0 0
5fedc08fd2b91cc464de62cfb4dddc3c3096b0800bd36320c70f150fc578284b 12 0 0 0
c58c6764e7bed7b3d593b59b12dfca75a5842080d767ee9e3b7d994fc531e452 10 0 0 0
5f65647fbfb9ce6c668514ff185dae304735b4937275c8c112cd204399db7224 1 0 0 0
2152073fe789b78d8ce27d98b276014d668f32a96bf72f8b5f42da384a23502b 7 0 0 0
caf693f00d3940d81c48e624869412a616d1eba3d8555f4aea5ffe90efe35a73 7 0 0 0
55ac24c6d6268f66506f04a5ea2f8c3e7d47b4d90ea2da5a624fa6096f7d7dd5 0 0 0 0
20b0059574f47070f5318e660fdd589318ace2c489c8d45075990b3bcead002a 254 1 174 65
cbddd374707a1adbde2f247f2be31c88cd96a58468110eac71e0ce098d2759b4 1 1 9 0
3f8cb304cc2bbdffaa0742a72cd9482a961aae0e6b0e03b6f1f9d50c302fe531 2 2 1346 8
1ec30465b805082d9274d21f60d3e0e19748845de2192b4e9a4f13022a7786b2 2 2 273 30
1ec40663768efbecc41fa3498f0be28a7ff23424a1fbbccd702cec14e7efff84 3 3 79 9
b50e65618eaddcc2530f5da40ba88b50f9e885587ceb7c262a5ca7d9bf2132c0 1 1 443 0
4151c6bb5f589171d0b6bc70a9722edbc0e4f7e874643c7299be1799564c0bbc 5 5 611 143
8717721693fa14214ed7fade8148397d04bdabbd803ffc5bf6508bd8b82fedc8 3 3 321 151
baa09d69272c3884b87338f73e47f5d0afb0c661e08baf6354e788db59c2364b 5 0 0 0
9c506eee1ada09452ba87618d18bc39b7a4f85602b5e41ef580593b43674001b 84 0 0 0
2f6ae9cfa432fdd00b56436851ee0b0bd103c6bb04f60da06d8aa5b3639aeeeb 6 6 940 344
42d6e994a76684bfdb22df7cb44c0d4e2355fff09bda06c8c28af1eacb6157b4 11 11 1508 603
9fa03d1a8474c329a5190ec555c64391faf40b1d7b6969ffaf53757b3e0d65cb 5 0 0 0
858e3f9d55a09e8da0ad837484b71d7244ec397540db28cd530f1a98a53f0f68 3 3 1141 432
eea52a3f3c98e81c31dadda0061b0e2aaaae3e5600711d18d2e13581f3206674 1 1 86 0
fa93976138ae6105d7de075ce29155777676a467a7476f448aff4537f2ca6dff 13 13 551 201
774b805dc3527b3d3de4b010da9c324dcc0c91a0264e5b384865e2ce7e9d43aa 47 47 4342 376
b661f439f10f12211b9c23ba0e65e9ac4a1be3fb99d4bd26dd74b2e60de628cf 19 19 2652 1811
067c60a9d63c81340082fd955465ffd087c0b8526431394f8c709a1ffdada04d 12 1 620 216
4f5e4a5dc5f57c5565495b793ad4e24cc29638f9d1e295be5bc464f9ae9f9eff 1 1 75 0
